mID,nsites,formula,pointGroup,spaceGroup,volume,a,b,c,alpha,beta,gamma,eij
mp-9124,3,LiZnAs,-43m,216,53.420929779528215,4.22742080,4.22742080,4.22742080,60.00000001,60.00000003,60.00000000,0.422794
mp-4174,3,HoNiSb,-43m,216,63.42329050844341,4.47632134,4.47632134,4.47632135,60.00000001,60.00000003,59.99999996,0.134952
mp-505297,3,NbSbRu,-43m,216,59.643354894567125,4.38556632,4.38556628,4.38556687,59.99999564,59.99999595,59.99999694,0.837337
mp-9437,3,NbFeSb,-43m,216,53.1671135998074,4.22071500,4.22071499,4.22071499,59.99999996,59.99999999,59.99999996,1.338533
mp-7575,3,LiZnN,-43m,216,30.05961719712393,3.49005936,3.49005937,3.49005937,60.00000005,60.00000003,59.99999999,0.293646
mp-3716,3,TbNiSb,-43m,216,64.62263150024994,4.50436124,4.50436124,4.50436123,60.00000000,59.99999999,59.99999996,0.164743
mp-3432,3,ScNiSb,-43m,216,57.045654235046065,4.32094947,4.32094947,4.32094947,59.99999995,59.99999995,59.99999997,0.074347
mp-5967,3,TiCoSb,-43m,216,51.1768253795958,4.16737690,4.16737690,4.16737690,60.00000000,59.99999998,59.99999996,0.651209
mp-10623,3,ThSbRh,-43m,216,76.1775939473061,4.75825176,4.75825176,4.75825175,59.99999999,59.99999999,59.99999995,0.136235
mp-4510,3,DyNiSb,-43m,216,63.9574333756277,4.48885257,4.48885256,4.48885257,60.00000002,60.00000006,60.00000000,0.154928
mp-22786,3,ThNiSn,-43m,216,71.32326831708653,4.65495419,4.65495419,4.65495419,59.99999995,59.99999993,59.99999993,0.408312
mp-4025,3,TmNiSb,-43m,216,62.26949830410617,4.44901075,4.44901074,4.44901075,60.00000003,60.00000005,59.99999997,0.159374
mp-11839,3,GdSbPt,-43m,216,74.09857402677876,4.71456488,4.71456488,4.71456487,59.99999997,59.99999998,59.99999998,0.19552
mp-11836,3,ErSbPd,-43m,216,70.79356271190653,4.64340170,4.64340170,4.64340169,59.99999999,59.99999999,59.99999999,0.163571
mp-11869,3,HfSnPd,-43m,216,64.42130046525499,4.49967860,4.49967861,4.49967861,60.00000006,60.00000002,60.00000001,0.038963
mp-569779,3,ScSbPd,-43m,216,64.81862282106856,4.50891037,4.50891016,4.50891059,59.99999677,59.99999833,60.00000161,0.18297
mp-10182,3,LiZnP,-43m,216,47.721332463377266,4.07138826,4.07138826,4.07138826,59.99999996,59.99999999,60.00000002,0.398655
mp-570213,3,LiMgBi,-43m,216,80.33450072745758,4.84327370,4.84327415,4.84327414,60.00000004,59.99999703,59.99999685,0.015918
mp-12558,3,LiMgAs,-43m,216,59.967842517920786,4.39350516,4.39350516,4.39350516,59.99999998,60.00000000,60.00000003,0.067619
mp-31455,3,VSbRu,-43m,216,55.213672793780965,4.27419053,4.27419054,4.27419054,59.99999999,59.99999994,59.99999996,1.238672
mp-31451,3,ZrCoBi,-43m,216,60.65124665476022,4.41013188,4.41013188,4.41013188,59.99999998,59.99999999,60.00000003,0.395647
mp-31454,3,TaSbRu,-43m,216,59.395592788449356,4.37948530,4.37948530,4.37948530,59.99999998,60.00000003,59.99999997,0.670725
mp-16314,3,TmSbPt,-43m,216,70.6694287076589,4.64068610,4.64068610,4.64068609,59.99999997,59.99999998,60.00000002,0.29222
mp-16327,3,DySbPt,-43m,216,72.3752279917447,4.67772817,4.67772817,4.67772817,59.99999996,59.99999996,59.99999998,0.200779
mp-16329,3,ErSbPt,-43m,216,71.26954096713627,4.65378504,4.65378504,4.65378505,60.00000003,60.00000001,60.00000007,0.203926
mp-7173,3,ScSbPt,-43m,216,65.31239905238792,4.52033073,4.52033073,4.52033073,60.00000008,60.00000008,60.00000009,0.15895
mp-567636,3,VFeSb,-43m,216,48.50761257892213,4.09362726,4.09362728,4.09362702,60.00000211,60.00000194,60.00000613,2.125692
mp-16376,3,HoSbPt,-43m,216,71.75443968167924,4.66431556,4.66431556,4.66431557,60.00000001,60.00000002,60.00000005,0.199215
mp-567422,3,GdNiBi,-43m,216,69.6390147558872,4.61802086,4.61802057,4.61802041,60.00000110,60.00000317,60.00000000,0.091743
mp-568269,3,TmNiBi,-43m,216,66.36014756036495,4.54437445,4.54437470,4.54437417,60.00000378,60.00000199,59.99999887,0.166302
mp-11390,3,LiGaSi,-43m,216,50.997614089729936,4.16250676,4.16250676,4.16250676,60.00000002,60.00000002,60.00000001,0.063584
mp-11520,3,YNiSb,-43m,216,64.42246466223851,4.49970572,4.49970571,4.49970571,59.99999996,59.99999998,60.00000001,0.232449
mp-30847,3,TiSnPt,-43m,216,60.50411803536023,4.40656294,4.40656294,4.40656294,59.99999997,60.00000000,59.99999997,0.092503
mp-19886,3,ThSnPt,-43m,216,79.31117061467606,4.82262085,4.82262084,4.82262085,60.00000002,60.00000006,60.00000004,0.282732
mp-35208,3,NdOF,-43m,216,45.19622799787777,3.99827207,3.99827260,3.99827273,59.99999920,60.00000551,60.00000448,0.558571
mp-35555,3,LaOF,-43m,216,47.958072637009565,4.07810993,4.07810963,4.07810940,59.99999724,60.00000388,60.00000573,0.752663
mp-36033,3,PrOF,-43m,216,46.45497029971281,4.03505151,4.03505097,4.03505116,59.99999943,60.00000565,60.00000418,0.565228
mp-36111,3,LiMgP,-43m,216,54.44347057422525,4.25422299,4.25422294,4.25422344,59.99999920,60.00000359,59.99999970,0.09783
mp-36526,3,AcOF,-43m,216,53.35031067137615,4.22555746,4.22555681,4.22555751,59.99999748,60.00000041,59.99999495,0.488148
mp-37381,3,SmOF,-43m,216,43.174515877142824,3.93774414,3.93774397,3.93774423,60.00000127,60.00000074,59.99999855,0.541179
mp-37906,3,LiMgN,-43m,216,31.47126679639641,3.54385892,3.54385843,3.54385857,60.00000463,60.00000628,60.00000494,0.23661
mp-38194,3,YOF,-43m,216,40.26110785715381,3.84710146,3.84710086,3.84710084,59.99999118,59.99999466,59.99999482,0.517976
mp-15988,4,Li2CuSb,-43m,216,63.5200920812546,4.47859756,4.47859755,4.47859756,59.99999996,60.00000000,60.00000001,0.328091
mp-567347,4,Li2AgSn,-43m,216,71.72993859196524,4.66378448,4.66378456,4.66378493,59.99999734,59.99999671,60.00000257,0.119379
mp-672234,4,N2,23,198,173.52621005093687,5.57769840,5.57769840,5.57769840,90.00000000,90.00000000,90.00000000,6e-06
mp-1818,5,SiF4,-43m,217,87.57888353145884,4.84552046,4.84552046,4.84552046,109.47122067,109.47122068,109.47122059,0.046294
mp-9816,5,GeF4,-43m,217,90.60718807850269,4.90073833,4.90073833,4.90073833,109.47122061,109.47122059,109.47122064,0.070637
mp-546633,6,KClO4,-43m,216,111.0058538220805,5.39445816,5.39460219,5.39445767,60.00088626,60.00000306,60.00088898,0.049192
mp-550759,6,RbClO4,-43m,216,117.5882210657808,5.50172785,5.49651011,5.50172696,59.96859219,59.99999909,59.96858878,0.019166
mp-30530,6,TlClO4,-43m,216,117.98434466868464,5.50528484,5.50528484,5.50528484,60.00000000,60.00000002,60.00000003,0.117523
mp-1220,6,Be5Au,-43m,216,57.29129836314029,4.32714273,4.32714274,4.32714273,59.99999998,59.99999994,60.00000000,0.06407
mp-34337,6,H4NCl,-43m,215,58.280853635021906,3.87711457,3.87711457,3.87711457,90.00000000,90.00000000,90.00000000,0.112676
mp-36248,6,H4BrN,-43m,215,67.00251897512452,4.06159900,4.06159900,4.06159900,90.00000000,90.00000000,90.00000000,0.07509
mp-570744,7,Si3As4,-43m,215,154.82277049698703,5.36666494,5.36666494,5.37558671,90.00000000,90.00000000,90.00000000,0.196767
mp-570377,7,Sn3As4,-43m,215,201.35388562182825,5.86066118,5.86066118,5.86228308,90.00000000,90.00000000,90.00000000,0.175655
mp-3762,8,VCu3S4,-43m,215,158.59241505051557,5.41286843,5.41286843,5.41286843,90.00000000,90.00000000,90.00000000,0.062311
mp-4043,8,NbCu3Se4,-43m,215,186.21336445935307,5.71044933,5.71044933,5.71044933,90.00000000,90.00000000,90.00000000,0.019089
mp-189,8,SiRu,23,198,106.83731343751283,4.74505211,4.74505211,4.74505211,90.00000000,90.00000000,90.00000000,0.752108
mp-2488,8,SiOs,23,198,110.1847364972429,4.79410063,4.79410063,4.79410063,90.00000000,90.00000000,90.00000000,0.772535
mp-154,8,N2,23,198,202.51664049215708,5.87246231,5.87246231,5.87246231,90.00000000,90.00000000,90.00000000,0.000537
mp-21855,8,VCu3Se4,-43m,215,180.41387408637925,5.65054031,5.65054031,5.65054031,90.00000000,90.00000000,90.00000000,0.093721
mp-10748,8,TaCu3S4,-43m,215,169.4271633359091,5.53342906,5.53342906,5.53342906,90.00000000,90.00000000,90.00000000,0.024235
mp-5621,8,NbCu3S4,-43m,215,168.64670629397213,5.52491950,5.52491950,5.52491950,90.00000000,90.00000000,90.00000000,0.00199
mp-4081,8,TaCu3Se4,-43m,215,186.37574495575893,5.71210871,5.71210871,5.71210871,90.00000000,90.00000000,90.00000000,0.036481
mp-850275,8,Li3SbS4,-43m,215,233.98002729931991,6.16206482,6.16206482,6.16206482,90.00000000,90.00000000,90.00000000,0.003043
mp-755309,8,Li3NbS4,-43m,215,227.54922368490838,6.10508600,6.10508600,6.10508600,90.00000000,90.00000000,90.00000000,0.003006
mp-760375,8,Li3VS4,-43m,215,211.22122825188566,5.95542173,5.95542173,5.95542173,90.00000000,90.00000000,90.00000000,0.040873
mp-571436,5,SnI4,-43m,215,298.93892244990985,6.68642773,6.68642773,6.68642773,90.00000000,90.00000000,90.00000000,0.015419
mp-546711,6,CsClO4,-43m,216,133.13631063659994,5.73153429,5.73153404,5.73153412,59.99988299,59.99988440,59.99988610,0.03022
mp-545756,6,ZnSO4,-43m,216,121.34409107483067,5.55705380,5.55705248,5.55705168,60.00000475,60.00001260,60.00001183,0.276324
mp-22229,6,TbInCu4,-43m,216,94.69287386342198,5.11615977,5.11615977,5.11615977,59.99999995,59.99999995,59.99999997,0.531482
mp-8703,8,Na3SbSe4,-43m,217,216.80913762179725,6.55490635,6.55490634,6.55490634,109.47122062,109.47122062,109.47122062,0.459594
mp-9295,8,TaCu3Te4,-43m,215,214.66840036472448,5.98764495,5.98764495,5.98764495,90.00000000,90.00000000,90.00000000,0.037389
mp-9911,8,K3SbS4,-43m,217,243.81174261564047,6.81645915,6.81645915,6.81645915,109.47122063,109.47122063,109.47122064,0.392544
mp-10644,8,TaTl3Se4,-43m,217,262.73989403182287,6.98847856,6.98847856,6.98847856,109.47122062,109.47122062,109.47122061,0.217369
mp-5513,8,Tl3VS4,-43m,217,226.02189649626723,6.64646622,6.64646622,6.64646622,109.47122065,109.47122063,109.47122062,0.238834
mp-7562,8,TaTl3S4,-43m,217,241.05413976949598,6.79066274,6.79066274,6.79066274,109.47122065,109.47122066,109.47122064,0.229499
mp-2534,2,GaAs,-43m,216,47.53187264507629,4.06599314,4.06599314,4.06599313,59.99999996,59.99999999,59.99999992,0.171565
mp-21272,3,ErNiSb,-43m,216,62.81581709167108,4.46198395,4.46198395,4.46198395,59.99999995,59.99999993,59.99999993,0.113105
mp-924129,3,ZrNiSn,-43m,216,58.51137509454741,4.35764413,4.35764413,4.35764438,59.99999813,59.99999807,60.00000273,0.004311
mp-4964,3,YSbPt,-43m,216,72.72281644263285,4.68520462,4.68520462,4.68520462,59.99999997,59.99999998,60.00000002,0.266463
mp-2894,3,ScSnAu,-43m,216,69.34928973740101,4.61160752,4.61160752,4.61160752,59.99999998,59.99999997,59.99999999,0.199157
mp-924128,3,HfNiSn,-43m,216,57.15172941478781,4.32362633,4.32362620,4.32362585,59.99999562,59.99999665,60.00000081,0.085779
mp-30452,3,DyNiBi,-43m,216,68.07373919066434,4.58315841,4.58315841,4.58315841,59.99999993,59.99999993,59.99999996,0.114664
mp-30460,3,YNiBi,-43m,216,68.57819989701478,4.59445172,4.59445173,4.59445173,60.00000006,60.00000003,60.00000005,0.177716
mp-569197,3,GdNiSb,-43m,216,65.4498150932601,4.52349824,4.52349868,4.52349872,60.00000718,60.00000410,60.00000590,0.066109
mp-30459,3,ScNiBi,-43m,216,61.20780518821452,4.42358050,4.42358050,4.42358050,59.99999999,60.00000001,59.99999994,0.009161
mp-16238,4,Li2AgSb,-43m,216,73.8823092104957,4.70997374,4.70997374,4.70997375,60.00000002,60.00000000,60.00000006,0.021195
mp-12411,4,Li2ZnGe,-43m,216,58.83252167631411,4.36560214,4.36560214,4.36560214,60.00000000,60.00000003,59.99999995,0.720943
mp-35841,4,Li2CuGe,-43m,216,52.86270213124477,4.21264412,4.21264483,4.21264427,59.99999407,59.99999336,59.99999775,0.094114
mp-30578,6,DyCu5,-43m,216,86.49258251752872,4.96399445,4.96399445,4.96399445,60.00000008,60.00000006,60.00000002,0.583697
mp-569600,7,Ge3As4,-43m,215,167.58181047369598,5.51160000,5.51160000,5.51660000,90.00000000,90.00000000,90.00000000,0.275469
mp-561689,7,CsLiMoO4,-43m,216,157.84329788108806,6.06619086,6.06615026,6.06619059,59.99949896,59.99973843,59.99950102,0.16211
mp-871,8,FeSi,23,198,88.13336945282951,4.45020610,4.45020610,4.45020610,90.00000000,90.00000000,90.00000000,0.65927
mp-20866,8,GeRh,23,198,119.52199051094512,4.92586614,4.92586614,4.92586614,90.00000000,90.00000000,90.00000000,0.614064
mp-39288,10,BaLaMgNbO6,-43m,216,134.7838918076072,5.75490718,5.75490690,5.75490691,90.01003930,119.99420223,119.99420221,0.168811
mp-40189,10,BaLiLaTeO6,-43m,216,132.55327849852327,5.72315017,5.72315033,5.72315055,59.99999851,60.00000225,60.00000101,0.032695
mp-40251,10,BaLaMgTaO6,-43m,216,134.11437970809652,5.74553005,5.74553083,5.74553036,59.99999305,59.99999596,59.99999867,0.135493
mp-41283,10,BaLaTaMnO6,-43m,216,140.58330498044722,5.83646070,5.83646112,5.83646138,59.99999581,59.99999806,59.99999648,0.068572
mp-41219,10,BaLiPrTeO6,-43m,216,131.2741304614637,5.70468103,5.70468154,5.70468161,59.99999508,59.99999749,59.99999710,0.029855
mp-41414,10,BaLaMgBiO6,-43m,216,142.7399127199213,5.86615390,5.86615461,5.86615449,59.99999496,59.99999770,59.99999836,0.072625
mp-21199,11,Na3(GePt)4,-43m,217,230.39309703543753,6.68903987,6.68903987,6.68903987,109.47122068,109.47122066,109.47122059,1.336073
mp-3519,12,ZrSO,23,198,192.36740538459009,5.77267573,5.77267573,5.77267573,90.00000000,90.00000000,90.00000000,0.335908
mp-8630,12,SbIrS,23,198,227.45765736321695,6.10426699,6.10426699,6.10426699,90.00000000,90.00000000,90.00000000,0.006795
mp-7787,12,HfSO,23,198,185.0585590348256,5.69862036,5.69862036,5.69862036,90.00000000,90.00000000,90.00000000,0.354782
mp-16363,12,CoAsS,23,198,174.11984825331703,5.58405165,5.58405165,5.58405165,90.00000000,90.00000000,90.00000000,0.071135
mp-756361,12,ZrSeO,23,198,204.0641214570076,5.88738203,5.88738203,5.88738203,90.00000000,90.00000000,90.00000000,0.185197
mp-554769,12,MoSBr,-43m,216,256.1746404226128,7.12881022,7.12881051,7.12880966,59.99999911,59.99999780,59.99999989,0.117362
mp-27608,12,Be4TeO7,-43m,216,112.06534628164151,5.41163850,5.41163851,5.41163851,60.00000003,60.00000002,60.00000006,0.03639
mp-759877,12,Li4CuF7,-43m,216,145.4052391879463,5.90244149,5.90244149,5.90244086,119.99999790,119.99999790,90.00000000,0.217765
mp-546794,6,SiO2,-42m,122,94.70800712994269,5.13820852,5.13916293,5.13891885,88.54084972,120.84020275,120.84161751,0.044229
mp-7583,6,SiS2,-42m,122,138.9425055902154,5.65046612,5.65046611,5.90777808,118.56938213,118.56938215,90.00000001,0.020398
mp-38103,6,NaClO4,-42m,121,84.9547833514184,4.87140094,5.08289133,4.87140097,58.55315659,62.89369649,58.55315096,0.028027
mp-763348,7,Li2MnF4,-42m,111,97.25883854248826,4.40754954,4.40754954,5.00650523,90.00000000,90.00000000,90.00000000,0.269118
mp-550433,8,BeZnO2,-42m,122,74.39085387543457,4.30880004,4.30879874,5.03362369,115.33953043,115.33954759,90.00139802,0.233298
mp-3524,8,LiPN2,-42m,122,76.1721335140996,4.57144824,4.57144824,4.87181099,117.98065347,117.98065346,90.00000005,0.224297
mp-7610,8,Li2CaSiO4,-42m,121,85.39057156518558,4.88880892,4.88880892,4.88880892,94.24578082,117.57972911,117.57972908,0.477234
mp-7611,8,Li2CaGeO4,-42m,121,90.90018692190637,4.99717967,4.99717968,4.99717968,93.77581688,117.84450637,117.84450635,0.543962
mp-10572,8,NaPN2,-42m,122,88.25302619211499,4.99877357,4.99877356,4.99877356,89.90897825,120.05256531,120.05256536,0.394263
mp-14232,8,LiBO2,-42m,122,59.069870823601825,4.23282594,4.23282595,4.45285623,118.37845202,118.37845196,90.00000000,0.223767
mp-15704,8,BeSiN2,-42m,122,67.72592380950289,4.07299360,4.07299360,4.99615288,114.05497429,114.05497426,90.00000003,0.076628
mp-15703,8,BeCN2,-42m,122,49.47935613573464,3.76366280,3.76366280,4.39133863,115.37446610,115.37446616,90.00000000,0.191827
mp-15701,8,MgSiN2,-42m,122,86.51421919781383,4.62819877,4.62819877,5.19835111,116.43359322,116.43359330,90.00000009,0.405113
mp-22993,6,AgClO4,-42m,121,89.03627933725033,4.97733084,4.97733084,4.97733084,92.57141165,118.52666693,118.52666691,0.048555
mp-239,8,BaS3,-42m,113,206.5102168944272,4.23423884,6.98366013,6.98366013,90.00000000,90.00000000,90.00000000,0.208291
mp-7801,8,CaGeN2,-42m,122,108.42727904482041,5.30921777,5.30921777,5.30921777,93.02512767,118.26908393,118.26908384,0.803421
mp-2961,8,MgSiP2,-42m,122,169.4177142437914,5.75021831,5.75021831,6.54106932,116.07499871,116.07499871,89.99999997,0.123405
mp-761325,8,Li2MnSiO4,-42m,121,87.29487585767204,4.51364445,5.34287339,4.51364445,65.01389200,90.00000000,114.98610800,0.286851
mp-758604,8,LiAgF2,-42m,122,113.5247044701699,5.16240322,5.60989129,5.16240284,62.60539342,90.00000000,62.60539695,0.501121
mp-765904,8,Li2FeSiO4,-42m,121,86.53468406317434,4.46885582,5.36292730,4.46885582,65.37715226,90.00000000,114.62284774,0.237345
mp-764642,8,Li2CoSiO4,-42m,121,83.72649099729853,4.36746571,4.36570836,11.96632928,24.18811457,79.43833560,89.93574258,0.241234
mp-22909,6,ZnCl2,-42m,122,164.30590896436425,5.64812874,5.64812874,6.51748968,115.67752155,115.67752155,89.99999997,0.030575
mp-7582,6,GeS2,-42m,122,152.30995796108132,5.78545229,5.78545228,6.11900804,118.21258270,118.21258265,90.00000001,0.000581
mp-568661,7,Cd(InSe2)2,-42m,121,210.87411283204892,5.88839330,5.88839331,7.37051224,113.54418095,113.54418103,90.00000648,0.091564
mp-568598,7,Cu2HgI4,-42m,111,243.75133951896657,6.15228694,6.15228694,6.43982174,90.00000000,90.00000000,90.00000000,0.085792
mp-570256,7,Ag2HgI4,-42m,111,280.26669061361844,6.56638990,6.56638990,6.50007177,90.00000000,90.00000000,90.00000000,0.104115
mp-568032,7,Cd(InSe2)2,-42m,111,212.49313610511507,5.91207510,5.91207510,6.07946023,90.00000000,90.00000000,90.00000000,0.097643
mp-8976,7,Cu2WS4,-42m,111,169.62377631366041,5.69899126,5.45562321,5.45562321,90.00000000,90.00000000,90.00000000,0.008254
mp-557373,7,Cu2WS4,-42m,121,158.06678605839983,5.45701917,5.45701943,6.56233395,114.56866025,114.56866177,89.99999598,0.028623
mp-35539,7,Zn2GeSe4,-42m,121,179.11513605474582,8.16649142,10.59328318,6.74697543,29.51772744,52.75701898,39.56412405,0.008647
mp-675748,7,Zn2GeS4,-42m,121,152.73388383003046,7.75107293,10.05760939,6.39780411,29.53586736,52.71896912,39.45576182,0.041155
mp-34169,7,Zn(InSe2)2,-42m,121,199.14116510163882,5.88086734,5.88086734,7.10016627,114.41620111,114.41620111,90.09617559,0.084638
mp-34467,7,Zn(GaS2)2,-42m,121,149.27376762706558,5.24049506,5.24049506,6.57671627,113.45513138,113.45513138,90.01480480,0.044448
mp-753195,7,Li2WS4,-42m,121,193.85698441007042,6.08284958,6.08284958,6.77864539,63.34114779,63.34114779,90.00000000,0.029214
mp-867695,7,Li2WS4,-42m,111,200.79567497452848,6.06981316,6.06981316,5.45009043,90.00000000,90.00000000,90.00000000,0.008397
mp-4586,8,LiAlTe2,-42m,122,245.8310117266908,6.42137699,6.42137699,7.49403631,115.36812192,115.36812189,90.00000000,0.027734
mp-12902,8,ErAgTe2,-42m,113,236.16325747649378,4.70479134,7.08493682,7.08493682,90.00000000,90.00000000,90.00000000,0.166425
mp-12903,8,YAgTe2,-42m,113,241.0363554970572,4.74553686,7.12686612,7.12686612,90.00000000,90.00000000,90.00000000,0.18296
mp-3551,8,TbAgTe2,-42m,113,242.04266648135842,4.75690459,7.13318921,7.13318921,90.00000000,90.00000000,90.00000000,0.191203
mp-4024,8,DyAgTe2,-42m,113,239.85864006273468,4.73749148,7.11546788,7.11546788,90.00000000,90.00000000,90.00000000,0.18496
mp-12954,8,CuBS2,-42m,122,113.79510977992868,5.01211842,5.01211843,5.75151592,115.83121369,115.83121376,89.99999994,0.002483
mp-5782,8,AlAgS2,-42m,122,173.81530770430223,5.75610780,5.75610780,6.63981513,115.68695518,115.68695522,90.00000002,0.135317
mp-4979,8,AlCuS2,-42m,122,149.4850986703389,5.32684055,5.32684055,6.47619237,114.28421829,114.28421825,90.00000001,0.07648
mp-14091,8,AlAgSe2,-42m,122,202.9421621734153,6.04271644,6.04271644,7.01049602,115.52953987,115.52953983,90.00000004,0.095551
mp-5342,8,GaAgS2,-42m,122,177.68537908135505,5.78667280,5.78667280,6.70073693,115.58145065,115.58145073,90.00000002,0.10456
mp-19412,8,VAg3O4,-42m,121,127.97132129110959,5.06708750,5.06708751,6.13840220,114.37686515,114.37686521,90.00000005,0.501544
mp-510657,8,VCu3O4,-42m,121,95.5160194449287,4.59670187,4.59670522,5.56789384,114.38222156,114.38264539,90.00004246,1.483453
mp-8311,8,Si3NiP4,-42m,121,141.19361586829132,5.20341572,5.20341572,6.38215880,114.05750144,114.05750148,89.99999995,0.376736
mp-3595,8,ZnSiAs2,-42m,122,178.36815311751553,5.67932051,5.67932050,6.83433684,114.55074600,114.55074593,89.99999999,0.061492
mp-5238,8,GaCuS2,-42m,122,152.70089010104192,5.36346601,5.36346601,6.52386309,114.27176582,114.27176580,90.00000006,0.022913
mp-3668,8,CdGeP2,-42m,122,185.24645909700513,5.81093601,5.81093601,6.85419226,115.08083449,115.08083451,89.99999998,0.008608
mp-4666,8,CdSiP2,-42m,122,173.74813194016113,5.73172615,5.73172615,6.66308747,115.47456529,115.47456527,89.99999999,0.047127
mp-20187,8,LiInSe2,-42m,122,217.89431663098966,6.03882668,6.03882669,7.34403223,114.27636467,114.27636468,90.00000000,0.049639
mp-4763,8,ZnSiP2,-42m,122,154.87826641095086,5.42182875,5.42182875,6.51588269,114.58527742,114.58527740,89.99999998,0.031891
mp-19896,8,Li2GePbS4,-42m,121,170.71237229473525,6.10099481,6.10099481,6.10099482,99.19708175,114.83992529,114.83992529,1.646216
mp-629443,8,EuLi2GeS4,-42m,121,166.7351201611132,6.04114469,6.04533113,6.04015353,100.59566509,114.08492598,114.12055715,0.022686
mp-4524,8,ZnGeP2,-42m,122,164.24975576087445,5.50407608,5.50407608,6.67400261,114.35266696,114.35266694,89.99999994,0.050728
